"id_rds";"status";"regiao_az";"tamanho";"vpc";"multi_az";"tipo_armazenamento";"armazenamento";"emissor"
hml-reg-externo;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"108 GiB";hml-reg-externo
prd-reg-akki;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";sol
prd-reg-allied;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"100 GiB";soudi
prd-reg-alvorada;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";alvorada
prd-reg-andorinha;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"40 GiB";andorinha
prd-reg-avenida;Disponível;us-east-1a;db.m6g.xlarge;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"2783 GiB";avenida
prd-reg-bahamascred;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"245 GiB";bahamascred
prd-reg-becker;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"200 GiB";becker
prd-reg-bembarato;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";bembarato
prd-reg-caedu;Disponível;us-east-1a;db.m6g.large;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"1870 GiB";caedu
prd-reg-cartaoconfianca;Disponível;us-east-1a;db.m6g.xlarge;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"666 GiB";cartaoconfianca
prd-reg-cartaoemporioalex;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"50 GiB";cartaoemporioalex
prd-reg-cartaolevemais;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";cartaolevemais
prd-reg-cartaolopes;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"180 GiB";cartaolopes
prd-reg-cartaolopes-new;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"180 GiB";cartaolopes-new
prd-reg-cartaonunes;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";cartaonunes
prd-reg-cassol;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";cassol
prd-reg-clubpay;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"50 GiB";clubpay
prd-reg-condor;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"40 GiB";condor
prd-reg-confpay-new;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"30 GiB";confpay
prd-reg-crediffato;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"315 GiB";crediffato
prd-reg-credsea;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"313 GiB";credsea
prd-reg-credsea-new;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSD de IOPS provisionadas (io2);"313 GiB";credsea-new
prd-reg-crefisa;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";crefisa
prd-reg-drogal;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";drogal
prd-reg-facilprapagar;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"65 GiB";facilprapagar
prd-reg-festclub;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"470 GiB";festclub
prd-reg-flamcard;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"90 GiB";flamcard
prd-reg-frigelar;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";frigelar
prd-reg-guanabara;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"50 GiB";guanabara
prd-reg-humanitarian;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";humanitarian
prd-reg-paguemenos;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"124 GiB";cartaolevemais
prd-reg-imperatriz;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"180 GiB";imperatriz
prd-reg-jbcard;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";jbcard
prd-reg-martminas;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"95 GiB";martminas
prd-reg-mendocard;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";mendocard
prd-reg-milla;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"40 GiB";milla
prd-reg-multitenancy-01;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";lab-izatta-multitenancy
prd-reg-nagumo;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";nagumo
prd-reg-ngvcred;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";ngvcred
prd-reg-nossopay;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"50 GiB";nossopay
prd-reg-obencard;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"50 GiB";obencard
prd-reg-proenca;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";proenca
prd-reg-savegnagoprivate;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"500 GiB";savegnago
prd-reg-servirconvenio;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";servirconvenio
prd-reg-stiloacard;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"45 GiB";stiloacard
prd-reg-taustepay;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"30 GiB";taustepay
prd-reg-torratorra;Disponível;us-east-1a;db.m6g.large;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"4000 GiB";torra
prd-reg-tvlar;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"30 GiB";tvlar
prd-reg-impecavelcard;Disponível;us-east-1c;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"86 GiB";impecavel
dev-dashboard;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";dashboard-unificado
prd-reg-caderneta;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";caderneta
prd-reg-clubdemais;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";clubdemais
prd-reg-festclub-reprocessamento;Disponível;us-east-1c;db.m6g.xlarge;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"427 GiB";festclub-reprocessamento
prd-reg-montreal-new;Disponível;us-east-1a;db.t4g.medium;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"240 GiB";cartaomontreal
prd-reg-servirprivate;Disponível;us-east-1c;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"50 GiB";servirprivate
prd-reg-unicompra;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";unicompra
prd-reg-veran;Disponível;us-east-1a;db.t4g.small;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"20 GiB";veran
prd-reg-voxcred;Disponível;us-east-1a;db.m6g.large;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"800 GiB";voxcred
prd-reg-vuon;Disponível;us-east-1c;db.m6g.large;vpc-08a4afddda11eaea6;Não;SSd de uso geral (gp3);"733 GiB";vuon
